"CRN","Title","Days","Time","Students","Date","Location"
"40001","Academic Reading/Writing II","MWF","10:30 am-12:50 pm","8","08/23-12/07","LM 357C"
"40002","Academic Oral Comm II","TR","04:35 pm-06:20 pm","8","08/23-12/06","ED 110"
"40003","Academic Reading/Writing III","MWF","10:30 am-12:50 pm","16","08/23-12/07","LM 365"
"40097","Rhetoric and Consumer Culture","MWF","10:30 am-11:35 am","34","08/23-12/07","CO 418"
"40098","Fund. of Creative Strategy","TR","04:35 pm-06:20 pm","33","08/23-12/06","CO 417"
"40099","Fund. of Creative Development","M","11:45 am-03:25 pm","21","08/23-12/05","CO 417"
"40100","Innovation in Advertising","R","06:30 pm-10:10 pm","16","08/23-12/01","LM 244B"
"40101","Copywriting","W","11:45 am-03:25 pm","26","08/23-12/07","CO 418"
"40103","Advertising Internship","S","11:45 am-03:25 pm","1","08/23-12/03","LM 343"
"40104","Industry Internship","S","11:45 am-03:25 pm","1","08/23-12/03","LM 345"
"40105","Campaign Project I","T","06:30 pm-10:10 pm","18","08/23-12/06","LM 141A"
"41512","Black Activists &amp; Visionaries","MW","06:30 pm-08:15 pm","31","08/23-12/07","LM 355"
"41513","SpTp: Black Scholars Capstone","T","04:35 pm-06:20 pm","10","08/23-12/06","ED 010"
"40616","First Semester ASL","MWF","10:30 am-11:35 am","22","08/23-12/07","ED 103"
"40617","First Semester ASL","MWF","11:45 am-12:50 pm","22","08/23-12/07","ED 103"
"40618","Second Semester ASL","MWF","10:30 am-11:35 am","19","08/23-12/07","ED 104"
"40619","Third Semester ASL","MWF","09:15 am-10:20 am","16","08/23-12/07","ED 104"
"40106","Intro to Anthropology","TR","08:00 am-09:45 am","40","08/23-12/06","KA 163"
"40108","Cultures Through Film","W","06:30 pm-10:10 pm","40","08/23-12/07","KA 363"
"42268","SpTp: Decolonizing Archaeology","TR","09:55 am-11:40 am","13","08/23-12/06","KA 163"
"42884","Anthropology of Migration","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","TBA "
"40614","First Semester Arabic","MWF","01:00 pm-02:05 pm","19","08/23-12/07","ED 310"
"40615","Third Semester Arabic","MWF","03:30 pm-04:35 pm","10","08/23-12/07","LM 151"
"40118","Intro to Arch &amp; Comm Des","T","04:35 pm-06:20 pm","38","08/23-12/06","CO 317"
"42437","Intro to Arch &amp; Comm Des","T","02:40 pm-04:25 pm","31","08/23-12/06","CO 317"
"40119","History of Architecture II","R","04:35 pm-06:20 pm","44","08/23-12/01","CO 317"
"40120","Fabrication Lab","F","02:30 pm-07:00 pm","4","09/02-09/17","FR XARTS 001"
"40121","Fabrication Lab","S","09:30 am-02:00 pm","3","09/02-09/17","FR XARTS 001"
"40122","Fabrication Lab","F","02:30 pm-07:00 pm","5","09/23-10/08","FR XARTS 001"
"40123","Fabrication Lab","S","09:30 am-02:00 pm","8","09/23-10/08","FR XARTS 001"
"40124","Fabrication Lab","F","02:30 pm-07:00 pm","5","10/14-10/29","FR XARTS 001"
"40125","Fabrication Lab","S","09:30 am-02:00 pm","10","10/14-10/29","FR XARTS 001"
"40126","Architecture Studio I","TR","09:00 am-11:45 am","12","08/23-12/06","FR XARTS 024"
"40127","Architecture Studio I","TR","09:00 am-11:45 am","12","08/23-12/06","FR XARTS 026"
"40128","Architecture Studio I","TR","09:00 am-11:45 am","12","08/23-12/06","FR XARTS 028"
"40129","Architecture Studio I","TR","12:45 pm-03:30 pm","11","08/23-12/06","FR XARTS 028"
"42438","Architecture Studio I","TR","12:45 pm-03:30 pm","11","08/23-12/06","FR XARTS 026"
"40130","Architectonics I","F","09:15 am-11:15 am","12","08/23-12/02","FR XARTS 024"
"40131","Architectonics I","F","09:15 am-11:15 am","11","08/23-12/02","FR XARTS 026"
"40132","Architectonics I","F","01:45 pm-03:45 pm","10","08/23-12/02","FR XARTS 028"
"40133","Architectonics I","F","01:45 pm-03:45 pm","11","08/23-12/02","FR XARTS 026"
"42439","Architectonics I","F","09:15 am-11:15 am","11","08/23-12/02","FR XARTS 028"
"40134","History of Architecture IV","W","04:35 pm-06:20 pm","31","08/23-12/07","CO 317"
"40135","Materials and Methods of Arch.","MW","09:00 am-11:45 am","11","08/23-12/07","FR XARTS 026"
