"CRN","Title","Days","Time","Students","Date","Location"
"40001","Academic Reading/Writing II","MWF","10:30 am-12:50 pm","0","08/23-12/15","LM 365"
"40002","Academic Oral Comm II","TR","04:35 pm-06:20 pm","1","08/23-12/15","ED 110"
"40003","Academic Reading/Writing III","MWF","10:30 am-12:50 pm","1","08/23-12/15","LM 147"
"40097","Rhetoric and Consumer Culture","MWF","10:30 am-11:35 am","21","08/23-12/15","CO 418"
"40098","Fund. of Creative Strategy","TR","04:35 pm-06:20 pm","18","08/23-12/15","CO 417"
"40099","Fund. of Creative Development","M","11:45 am-03:25 pm","19","08/23-12/15","CO 417"
"40100","Innovation in Advertising","R","06:30 pm-10:10 pm","12","08/23-12/15","LM 244B"
"40101","Copywriting","W","11:45 am-03:25 pm","24","08/23-12/15","CO 418"
"40103","Advertising Internship","S","11:45 am-03:25 pm","3","08/23-12/15","LM 343"
"40104","Industry Internship","S","11:45 am-03:25 pm","1","08/23-12/15","LM 345"
"40105","Campaign Project I","T","06:30 pm-10:10 pm","16","08/23-12/15","LM 141A"
"41512","Black Activists &amp; Visionaries","MW","06:30 pm-08:15 pm","0","08/23-12/15","LM 346B"
"41513","SpTp: Black Scholars Capstone","T","04:35 pm-06:20 pm","10","08/23-12/15","ED 010"
"40616","First Semester ASL","MWF","10:30 am-11:35 am","22","08/23-12/15","ED 103"
"40617","First Semester ASL","MWF","11:45 am-12:50 pm","22","08/23-12/15","ED 103"
"40618","Second Semester ASL","MWF","10:30 am-11:35 am","16","08/23-12/15","ED 104"
"40619","Third Semester ASL","MWF","09:15 am-10:20 am","19","08/23-12/15","ED 104"
"40106","Intro to Anthropology","TR","08:00 am-09:45 am","18","08/23-12/15","KA 163"
"40108","Cultures Through Film","W","06:30 pm-10:10 pm","27","08/23-12/15","KA 363"
"42268","SpTp: Decolonizing Archaeology","TR","09:55 am-11:40 am","8","08/23-12/15","KA 163"
"40614","First Semester Arabic","MWF","01:00 pm-02:05 pm","9","08/23-12/15","ED 310"
"40615","Third Semester Arabic","MWF","03:30 pm-04:35 pm","8","08/23-12/15","LM 151"
"40118","Intro to Arch &amp; Comm Des","T","04:35 pm-06:20 pm","9","08/23-12/15","CO 313"
"42437","Intro to Arch &amp; Comm Des","T","02:40 pm-04:25 pm","0","08/23-12/15","CO 317"
"40119","History of Architecture II","R","04:35 pm-06:20 pm","38","08/23-12/15","CO 313"
"40120","Fabrication Lab","F","02:30 pm-07:00 pm","5","09/02-09/17","FR XARTS 001"
"40121","Fabrication Lab","S","09:30 am-02:00 pm","4","09/02-09/17","FR XARTS 001"
"40122","Fabrication Lab","F","02:30 pm-07:00 pm","5","09/23-10/08","FR XARTS 001"
"40123","Fabrication Lab","S","09:30 am-02:00 pm","7","09/23-10/08","FR XARTS 001"
"40124","Fabrication Lab","F","02:30 pm-07:00 pm","0","10/14-10/29","FR XARTS 001"
"40125","Fabrication Lab","S","09:30 am-02:00 pm","3","10/14-10/29","FR XARTS 001"
"40126","Architecture Studio I","TR","09:00 am-11:45 am","1","08/23-12/15","FR XARTS 024"
"40127","Architecture Studio I","TR","09:00 am-11:45 am","4","08/23-12/15","FR XARTS 026"
"40128","Architecture Studio I","TR","09:00 am-11:45 am","0","08/23-12/15","FR XARTS 028"
"40129","Architecture Studio I","TR","12:45 pm-03:30 pm","4","08/23-12/15","FR XARTS 028"
"42438","Architecture Studio I","TR","12:45 pm-03:30 pm","0","08/23-12/15","FR XARTS 026"
"40130","Architectonics I","F","09:15 am-11:15 am","2","08/23-12/15","FR XARTS 024"
"40131","Architectonics I","F","09:15 am-11:15 am","3","08/23-12/15","FR XARTS 026"
"40132","Architectonics I","F","01:45 pm-03:45 pm","1","08/23-12/15","FR XARTS 028"
"40133","Architectonics I","F","01:45 pm-03:45 pm","0","08/23-12/15","FR XARTS 026"
"42439","Architectonics I","F","09:15 am-11:15 am","0","08/23-12/15","FR XARTS 028"
"40134","History of Architecture IV","W","04:35 pm-06:20 pm","22","08/23-12/15","CO 317"
"40135","Materials and Methods of Arch.","MW","09:00 am-11:45 am","12","08/23-12/15","FR XARTS 026"
"40136","Materials and Methods of Arch.","MW","03:15 pm-06:00 pm","12","08/23-12/15","FR XARTS 024"
"40137","Materials and Methods of Arch.","MW","03:15 pm-06:00 pm","12","08/23-12/15","FR XARTS 026"
"40138","Materials and Methods of Arch.","MW","09:00 am-11:45 am","5","08/23-12/15","FR XARTS 024"
"40139","CADD 1","F","01:30 pm-04:30 pm","18","08/23-12/15","CO G25"
"40140","CADD 1","F","05:00 pm-08:00 pm","9","08/23-12/15","CO G25"
"40141","BIM &amp; Applications","M","05:10 pm-08:10 pm","10","08/23-12/15","CO G25"
"40142","BIM &amp; Applications","W","05:10 pm-08:10 pm","3","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"40143","CADD 2: GIS for Architecture","T","06:30 pm-09:30 pm","5","10/18-12/13","CO 312"
"40144","Sustainable Design","MW","04:45 pm-06:25 pm","12","08/23-12/15","HR G56"
"40145","Architecture Studio V","MW","09:00 am-11:45 am","12","08/23-12/15","FR XARTS 028"
"40146","Architecture Studio V","MW","09:00 am-11:45 am","8","08/23-12/15","FR XARTS 028"
"40147","Architecture Studio V","MW","12:00 pm-02:45 pm","9","08/23-12/15","FR XARTS 028"
"40148","Community Design Outreach","TR","12:45 pm-03:30 pm","15","08/23-12/15","KO M205"
"42329","Community Design Outreach","TR","09:00 am-11:45 am","8","08/23-12/15","KO M205"
"40149","Intro Arch Theory &amp; Writn Word","MW","11:45 am-01:30 pm","18","08/23-12/15","KO M205"
"40150","Portfolio Lab","W","01:45 pm-03:30 pm","9","08/23-12/15","TBA TBA"
"40151","Thesis Preparation Seminar","M","01:45 pm-03:30 pm","10","08/23-12/15","TBA TBA"
"40152","Art Appreciation","MWF","10:30 am-11:35 am","40","08/23-12/15","LM 351"
"40153","Art Appreciation","TR","06:30 pm-08:15 pm","40","08/23-12/15","LM 351"
"40154","Art Appreciation","MW","06:30 pm-08:15 pm","10","08/23-12/15","LM 351"
"40155","Survey of Western Art History I","TR","09:55 am-11:40 am","27","08/23-12/15","LM 351"
"40156","Survey of Western Art History I","TR","12:45 pm-02:30 pm","20","08/23-12/15","LM 351"
"41472","Drawing for Non-Majors","M","03:00 pm-08:00 pm","14","08/23-12/15","FR XARTS 001"
"41474","Drawing for Non-Majors","MW","06:45 pm-09:30 pm","14","08/23-12/15","FR XARTS 008"
"41483","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","7","09/02-09/17","FR XARTS 001"
"41484","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","8","09/02-09/17","FR XARTS 001"
"41485","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","7","09/23-10/08","FR XARTS 001"
"41486","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","5","09/23-10/08","FR XARTS 001"
"41487","Art + Architecture Fabrication Lab","F","02:30 pm-07:00 pm","5","10/14-10/29","FR XARTS 001"
"41488","Art + Architecture Fabrication Lab","S","09:30 am-02:00 pm","1","10/14-10/29","FR XARTS 001"
"42055","PaintingNonMajors(ArtDeptOnly)","TR","07:00 pm-09:45 pm","0","08/23-12/15","FR XARTS 008"
"40157","History of Western Design","TR","12:45 pm-02:30 pm","19","08/23-12/15","LM 245"
"41490","Art Fundamentals","TR","08:45 am-11:30 am","9","08/23-12/15","FR XARTS 008"
"41491","Drawing I","F","09:00 am-01:00 pm","4","08/23-12/15","FR XARTS 008"
"40158","Design Fundamentals","MW","11:45 am-02:15 pm","13","08/23-12/15","FR XARTS 006"
"40159","Design Fundamentals","MW","02:30 pm-05:00 pm","6","08/23-12/15","FR XARTS 006"
"40160","Design Fundamentals","TR","09:00 am-11:30 am","8","08/23-12/15","FR XARTS 006"
"40161","Design Fundamentals","TR","01:00 pm-03:30 pm","5","08/23-12/15","FR XARTS 006"
"40162","Visual Communication I","MW","02:30 pm-05:00 pm","8","08/23-12/15","FR XARTS 005"
"42057","Visual Communication I","TR","03:45 pm-06:15 pm","14","08/23-12/15","CO G25"
"40163","FYS: Sacred Art in the City","W","11:45 am-03:25 pm","0","08/23-12/15","LM 357"
"40164","FYS: Art in Multicultural SF","F","11:45 am-03:25 pm","0","08/23-12/15","LM 357"
"40165","FYS: Exploring Asian Art in SF","W","11:45 am-03:25 pm","0","08/23-12/15","LM 351"
"40166","Methods/Theory in Art History","T","04:35 pm-06:20 pm","12","08/23-12/15","LM 357"
"40167","Typography","MW","08:45 am-11:15 am","11","08/23-12/15","FR XARTS 005"
"40168","Typography","MW","11:45 am-02:15 pm","12","08/23-12/15","FR XARTS 005"
"40169","Typography","TR","09:00 am-11:30 am","13","08/23-12/15","FR XARTS 005"
"40170","Typography","TR","01:00 pm-03:30 pm","10","08/23-12/15","FR XARTS 005"
"40171","African Art","MW","04:45 pm-06:25 pm","12","08/23-12/15","LM 351"
"40172","Art of the Americas","TR","09:55 am-11:40 am","9","08/23-12/15","LM 245"
"42061","Painting I","F","02:00 pm-07:00 pm","14","08/23-12/15","FR XARTS 008"
"42064","Sculpture I (Art Dept. only)","MW","11:45 am-02:30 pm","10","08/23-12/15","FR XARTS 001"
"40173","Art + Arch Lecture Series","R","11:45 am-12:45 pm","1","08/23-12/15","FR XARTS 005"
"42070","Ceramics I (Art Dept. only)","TR","08:45 am-11:30 am","12","08/23-12/15","FR XARTS 001"
"40174","Visual Communication II","MW","09:00 am-11:30 am","13","08/23-12/15","CO G25"
"40175","Visual Communication II","MW","11:45 am-02:15 pm","15","08/23-12/15","CO G25"
"40177","Visual Communication II","TR","09:00 am-11:30 am","15","08/23-12/15","CO G25"
"40178","Sustainable Systems Design Seminar","M","11:45 am-03:25 pm","14","08/23-12/15","LM 357"
"42076","Color Theory","TR","04:00 pm-06:45 pm","6","08/23-12/15","FR XARTS 008"
"40179","Photography and Modern Asia","TR","12:45 pm-02:30 pm","12","08/23-12/15","LM 357"
"42106","Mural Painting","TR","01:00 pm-03:45 pm","0","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"40180","Design Activism","MW","09:00 am-11:00 am","9","08/23-12/15","FR XARTS 006"
"42107","Comics in the Margins","TR","01:00 pm-03:45 pm","10","08/23-12/15","FR XARTS 001"
"42108","Printmaking I","MW","08:45 am-11:30 am","13","08/23-12/15","FR XARTS 008"
"40181","Critical Brand/Package Design","TR","03:45 pm-06:15 pm","15","08/23-12/15","FR XARTS 005"
"40182","SpTp: Slow Internet","TR","01:00 pm-03:30 pm","13","08/23-12/15","CO G25"
"42109","SpTp: Art in the Environment","TR","01:00 pm-03:45 pm","6","08/23-12/15","FR XARTS 008"
"40183","Intern/Museum","M","06:30 pm-10:10 pm","5","08/23-12/15","LM 357"
"40184","Intern/Commercial Gallery","M","06:30 pm-10:10 pm","0","08/23-12/15","LM 357"
"40185","Intern/Arts Non-Profit","M","06:30 pm-10:10 pm","3","08/23-12/15","LM 357"
"40186","Professional Practice in Design","F","11:45 am-01:30 pm","11","08/23-12/15","FR XARTS 005"
"40187","Professional Practice in Design","F","01:45 pm-03:30 pm","11","08/23-12/15","FR XARTS 005"
"42110","Artist as Citizen","MW","11:45 am-02:30 pm","8","08/23-12/15","FR XARTS 008"
"40111","Research Methods","T","06:30 pm-09:30 pm","2","08/23-12/15","KA 263"
"40113","Asia Pac History &amp; Modernities","M","05:30 pm-08:30 pm","3","08/23-12/15","KA 263"
"40115","Asia Pacific Literature/Film","W","06:30 pm-09:30 pm","3","08/23-12/15","KA 263"
"40116","Society and Culture in the Contemporary Asia Pacific","T","06:30 pm-09:30 pm","5","08/23-12/15","CO 315"
"40117","Development Management in Asia","R","06:30 pm-09:30 pm","3","08/23-12/15","KA 263"
"41871","Culture and Mental Health","R","12:45 pm-03:30 pm","1","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41872","Human Development","R","12:45 pm-03:20 pm","1","08/23-12/15","MA 226"
"41873","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41874","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","0","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41875","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","0","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41876","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","0","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41877","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","0","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41878","Clinical Dissertation Proposal Seminar","&nbsp;","<abbr title=""To Be Announced"">TBA</abbr>","1","08/23-12/15","<abbr title=""To Be Announced"">TBA</abbr>"
"41879","Socialization to Clinical Psychology Seminar","T","08:00 am-09:45 am","1","08/23-12/15","CO 414"
"41880","Advanced Psychopathology I: Children and Adolescents","R","08:00 am-10:45 am","1","08/23-12/15","KA 263"
"42441","Intellectual Assessment","R","09:00 am-11:45 am","0","08/23-12/15","CO 212"
"42442","Intellectual Assessment","R","09:00 am-11:45 am","0","08/23-12/15","MA 226"
"41881","Clinical Neuropsychology and Neuropsychological Screening","R","12:45 pm-03:30 pm","0","08/23-12/15","CO 317"
"41882","Practicum 2A","R","08:00 am-10:45 am","0","08/23-12/15","LM 351C"
"41883","Practicum 2A","R","08:00 am-10:45 am","0","08/23-12/15","LM 357C"
"41884","Statistics for the Social Sciences","T","02:45 pm-05:30 pm","0","08/23-12/15","MA 123"
"41885","Professional Ethics, Laws,  and Standards","T","09:55 am-11:40 am","1","08/23-12/15","CO 316"
"41886","Quantitative Methods in Research Design","T","08:00 am-10:45 am","1","08/23-12/15","CO 419"
"41887","Evidence Based Practice I: Humanistic, Psychodynamic, Interpersonal Psychotherapy","R","04:45 pm-07:30 pm","0","08/23-12/15","ED 306"
"41888","Cognitive and Affective Bases of Behavior","T","03:45 pm-06:30 pm","3","08/23-12/15","MA 227"
"41889","Evidence Based Practice IV: Groups","R","12:45 pm-02:30 pm","3","08/23-12/15","CO 314"
